Country Name,Country Code,Series Name,Series Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,155370,163630,168150,157440,168140,177260,178530,184000,179910,186090,184280,180120,177410,..,..
Argentina,ARG,Forest area (sq. km),AG.LND.FRST.K2,314796,311632,308468,305304,302140,299906,297672,295438,293204,290970,290100,288990,287910,..,..
Australia,AUS,CO2 emissions (kt),EN.ATM.CO2E.KT,375060,385370,388500,394950,387350,385770,385770,379270,369880,375970,383960,387200,386620,..,..
Australia,AUS,Forest area (sq. km),AG.LND.FRST.K2,1304533,1302265,1299997,1297729,1295461,1302557.8,1309654.6,1316751.4,1323848.2,1330945,1340372,1340174,1340051,..,..
Brazil,BRA,CO2 emissions (kt),EN.ATM.CO2E.KT,333980,351520,372160,350830,397730,417120,451760,482860,506780,479970,441910,449840,427710,..,..
Brazil,BRA,Forest area (sq. km),AG.LND.FRST.K2,5273838.6,5234330.7,5194822.8,5155314.9,5115807,5100415.2,5085023.4,5069631.6,5054239.8,5038848,5020821,5000916,4990514,..,..
China,CHN,CO2 emissions (kt),EN.ATM.CO2E.KT,6431910,6988210,7195010,7715110,8470570,9278250,9533210,9936680,9894940,9830430,9814310,10017770,10313460,..,..
China,CHN,Forest area (sq. km),AG.LND.FRST.K2,1911664.48,1935274.31,1958884.14,1982493.97,2006103.8,2025471.54,2044839.28,2064207.02,2083574.76,2102942.5,2124598.67,2143394.7,2162190.4,..,..
France,FRA,CO2 emissions (kt),EN.ATM.CO2E.KT,371600,362910,358210,343880,347940,333530,336330,336630,304530,310520,312710,316360,309960,..,..
France,FRA,Forest area (sq. km),AG.LND.FRST.K2,159666,160797,161928,163059,164190,165024,165858,166692,167526,168360,169194,170028,170862,..,..
Germany,DEU,CO2 emissions (kt),EN.ATM.CO2E.KT,814160,783600,789550,734660,772920,746380,760020,777630,737490,742310,747150,732200,709540,..,..
Germany,DEU,Forest area (sq. km),AG.LND.FRST.K2,113870,113925,113980,114035,114090,114110,114130,114150,114170,114190,114190,114190,114190,..,..
India,IND,CO2 emissions (kt),EN.ATM.CO2E.KT,1214250,1336100,1423880,1568530,1665310,1760800,1908570,1966810,2136870,2150220,2183280,2301440,2434520,..,..
India,IND,Forest area (sq. km),AG.LND.FRST.K2,687340,689245,691150,693055,694960,697624,700288,702952,705616,708280,710944,713608,716272,..,..
Indonesia,IDN,CO2 emissions (kt),EN.ATM.CO2E.KT,364100,379980,377180,394490,416940,480460,486750,454320,490050,490840,494980,532920,583110,..,..
Indonesia,IDN,Forest area (sq. km),AG.LND.FRST.K2,1003075.2,1001454.4,999833.6,998212.8,996592,987329.4,978066.8,968804.2,959541.6,950279,952718,939498,933442.7,..,..
Italy,ITA,CO2 emissions (kt),EN.ATM.CO2E.KT,466650,459370,444980,397060,405270,396690,376750,346450,327490,337860,333340,329190,324850,..,..
Italy,ITA,Forest area (sq. km),AG.LND.FRST.K2,87645.24,88304.03,88962.82,89621.61,90280.4,90818.48,91356.56,91894.64,92432.72,92970.8,93508.9,94047,94585.1,..,..
Japan,JPN,CO2 emissions (kt),EN.ATM.CO2E.KT,1190260,1226360,1159620,1101210,1156080,1212170,1252220,1260900,1219820,1181500,1171390,1151930,1106150,..,..
